"Year","Units","Series","Territorio","Value"
2017,"Porcentaje","Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil","España",94.84
2017,"Porcentaje","Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil","Aragón",85.13
2018,"Porcentaje","Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil","España",95.55
2021,"Porcentaje","Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil","España",93.39
2018,"Porcentaje","Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil","Aragón",94.96
2019,"Porcentaje","Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil","España",94.75
2019,"Porcentaje","Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil","Aragón",96.36
2022,"Porcentaje","Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil","España",95.25
2020,"Porcentaje","Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil","España",94.31
2022,"Porcentaje","Cobertura de vacunación de recuerdo contra difteria, tétanos y tosferina en la población infantil","Aragón",89.12
2017,"Porcentaje","Cobertura de vacunación de recuerdo contra neumococo en la población infantil","España",88.46
2020,"Porcentaje","Cobertura de vacunación de recuerdo contra neumococo en la población infantil","España",93.71
2017,"Porcentaje","Cobertura de vacunación de recuerdo contra neumococo en la población infantil","Aragón",98.94
2022,"Porcentaje","Cobertura de vacunación de recuerdo contra neumococo en la población infantil","Aragón",96.63
2019,"Porcentaje","Cobertura de vacunación de recuerdo contra neumococo en la población infantil","Aragón",98.37
2019,"Porcentaje","Cobertura de vacunación de recuerdo contra neumococo en la población infantil","España",94.42
2018,"Porcentaje","Cobertura de vacunación de recuerdo contra neumococo en la población infantil","Aragón",99.74
2018,"Porcentaje","Cobertura de vacunación de recuerdo contra neumococo en la población infantil","España",94.79
2021,"Porcentaje","Cobertura de vacunación de recuerdo contra neumococo en la población infantil","España",93.24
2022,"Porcentaje","Cobertura de vacunación de recuerdo contra neumococo en la población infantil","España",94.88
2017,"Porcentaje","Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil","España",93.14
2019,"Porcentaje","Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil","España",94.26
2018,"Porcentaje","Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil","Aragón",99.88
2022,"Porcentaje","Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil","España",93.92
2020,"Porcentaje","Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil","España",93.93
2019,"Porcentaje","Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil","Aragón",98.64
2021,"Porcentaje","Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil","España",91.91
2022,"Porcentaje","Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil","Aragón",98.35
2017,"Porcentaje","Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil","Aragón",98.84
2018,"Porcentaje","Cobertura de vacunación de segunda dosis contra sarampión, rubeola y parotiditis en la población infantil","España",94.45
2022,"Porcentaje","Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes","Aragón",79.05
2018,"Porcentaje","Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes","España",79.41
2022,"Porcentaje","Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes","España",83.73
2017,"Porcentaje","Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes","Aragón",83.16
2018,"Porcentaje","Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes","Aragón",85.48
2019,"Porcentaje","Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes","España",80.21
2017,"Porcentaje","Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes","España",77.78
2021,"Porcentaje","Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes","España",81.83
2020,"Porcentaje","Cobertura de vacunación de segunda dosis contra papiloma humano en las adolescentes","España",81.79
